COD_DISCIPLINA,NOME_DISCIPLINA,COD_CURSO,MULTIPLA_ESCOLHA,CURSO,IDPROGRAMA,SETOR_CURSO
PP011,CÁLCULO DIFERENCIAL E INTEGRAL I,40001016029G0,Não,ENGENHARIA CIVIL  - Presencial - Pontal do Paraná,40001016029G0,CENTRO DE ESTUDOS DO MAR
PP018-EAD,EXPRESSÃO GRÁFICA,40001016029G0,Não,ENGENHARIA CIVIL  - Presencial - Pontal do Paraná,40001016029G0,CENTRO DE ESTUDOS DO MAR
BE0043,ATIVIDADE FÍSICA E ENVELHECIMENTO,40001016022G0,Não,EDUCAÇÃO FÍSICA  - Presencial - Curitiba,40001016022G0,SETOR DE CIÊNCIAS BIOLÓGICAS
CI1238,OTIMIZAÇÃO,40001016010G0,Não,CIÊNCIA DA COMPUTAÇÃO  - Presencial - Curitiba,40001016010G0,SETOR DE CIÊNCIAS EXATAS
CE009,INTRODUÇÃO À ESTATÍSTICA,40001016016G0,Não,CIÊNCIAS SOCIAIS  - Presencial - Curitiba,40001016016G0,SETOR DE CIÊNCIAS HUMANAS
DBD101,BOTÂNICA AQUÁTICA,40001016033G0,Não,ENGENHARIA DE AQUICULTURA  - Presencial - Palotina,40001016033G0,SETOR PALOTINA
DBD105,ZOOLOGIA DOS INVERTEBRADOS AQUÁTICOS,40001016033G0,Não,ENGENHARIA DE AQUICULTURA  - Presencial - Palotina,40001016033G0,SETOR PALOTINA
DEC001,METODOLOGIA CIENTÍFICA,40001016033G0,Não,ENGENHARIA DE AQUICULTURA  - Presencial - Palotina,40001016033G0,SETOR PALOTINA
DEE238,CÁLCULO I,40001016033G0,Não,ENGENHARIA DE AQUICULTURA  - Presencial - Palotina,40001016033G0,SETOR PALOTINA
DEE287,QUÍMICA GERAL,40001016033G0,Não,ENGENHARIA DE AQUICULTURA  - Presencial - Palotina,40001016033G0,SETOR PALOTINA
DEE288,QUÍMICA GERAL EXPERIMENTAL,40001016033G0,Não,ENGENHARIA DE AQUICULTURA  - Presencial - Palotina,40001016033G0,SETOR PALOTINA
DEE297,INTRODUÇÃO À ENGENHARIA DE AQUICULTURA,40001016033G0,Não,ENGENHARIA DE AQUICULTURA  - Presencial - Palotina,40001016033G0,SETOR PALOTINA
DEE316,INFORMÁTICA E INTRODUÇÃO À PROGRAMAÇÃO,40001016033G0,Não,ENGENHARIA DE AQUICULTURA  - Presencial - Palotina,40001016033G0,SETOR PALOTINA
DEE509,EXPRESSÃO GRÁFICA I,40001016033G0,Não,ENGENHARIA DE AQUICULTURA  - Presencial - Palotina,40001016033G0,SETOR PALOTINA
SE636,ANÁLISE DE INSUMO-PRODUTO,40001016006G0,Não,CIÊNCIAS CONTÁBEIS  - Presencial - Curitiba,40001016006G0,SETOR DE CIÊNCIAS SOCIAIS E APLICADAS
CE072,TEORIA DO RISCO,40001016044G0,Não,ESTATÍSTICA E CIÊNCIA DE DADOS  - Presencial - Curitiba,40001016044G0,SETOR DE CIÊNCIAS EXATAS
CE318,APRENDIZADO NÃO SUPERVISIONADO,40001016044G0,Não,ESTATÍSTICA E CIÊNCIA DE DADOS  - Presencial - Curitiba,40001016044G0,SETOR DE CIÊNCIAS EXATAS
DS010,ADMINISTRAÇÃO DE SISTEMAS,40001016111G0,Não,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS  - Presencial - Curitiba,40001016111G0,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
DS110,PROJETO DE ALGORITMOS E PRÁTICA DE PROGRAMAÇÃO,40001016111G0,Não,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS  - Presencial - Curitiba,40001016111G0,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
DS611,ESTATÍSTICA PARA COMPUTAÇÃO,40001016111G0,Não,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS  - Presencial - Curitiba,40001016111G0,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
DS613,MATEMÁTICA PARA COMPUTAÇÃO,40001016111G0,Não,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS  - Presencial - Curitiba,40001016111G0,SETOR DE EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
HTT311-EX,LEGISLAÇÃO DO TURISMO,40001016113G0,Não,TURISMO  - Presencial - Curitiba,40001016113G0,SETOR DE CIÊNCIAS HUMANAS
HTT314-EX,CULTURA E PATRIMÔNIO NO TURISMO,40001016113G0,Não,TURISMO  - Presencial - Curitiba,40001016113G0,SETOR DE CIÊNCIAS HUMANAS
HS315,LABORATÓRIO ETNOGRÁFICO,40001016016G0,Não,CIÊNCIAS SOCIAIS  - Presencial - Curitiba,40001016016G0,SETOR DE CIÊNCIAS HUMANAS
HS316,TCC EM ANTROPOLOGIA E ARQUEOLOGIA I,40001016016G0,Não,CIÊNCIAS SOCIAIS  - Presencial - Curitiba,40001016016G0,SETOR DE CIÊNCIAS HUMANAS
MB120,CÁLCULOS FARMACÊUTICOS,40001016046G0,Não,FARMÁCIA  - Presencial - Curitiba,40001016046G0,SETOR DE CIÊNCIAS DA SAÚDE
AL038,FERTILIDADE DO SOLO E NUTRIÇÃO DE ESSÊNCIAS FLORESTAIS,40001016040G0,Não,ENGENHARIA FLORESTAL  - Presencial - Curitiba,40001016040G0,SETOR DE CIÊNCIAS AGRÁRIAS
AS059,METEOROLOGIA E CLIMATOLOGIA FLORESTAL,40001016040G0,Não,ENGENHARIA FLORESTAL  - Presencial - Curitiba,40001016040G0,SETOR DE CIÊNCIAS AGRÁRIAS
AT113,QUÍMICA DA MADEIRA,40001016040G0,Não,ENGENHARIA FLORESTAL  - Presencial - Curitiba,40001016040G0,SETOR DE CIÊNCIAS AGRÁRIAS
AT142E,FISICA II,40001016040G0,Não,ENGENHARIA FLORESTAL  - Presencial - Curitiba,40001016040G0,SETOR DE CIÊNCIAS AGRÁRIAS
TE345,ADMINISTRAÇÃO DE EMPRESAS,40001016039G0,Não,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,40001016039G0,SETOR DE TECNOLOGIA
TE346,ENGENHARIA ELÉTRICA E SOCIEDADE,40001016039G0,Não,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,40001016039G0,SETOR DE TECNOLOGIA
TE993,INTRODUÇÃO À ENGENHARIA BIOMÉDICA,40001016039G0,Não,ENGENHARIA ELÉTRICA  - Presencial - Curitiba,40001016039G0,SETOR DE TECNOLOGIA
BZ058,MANEJO E CONSERVAÇÃO DA FAUNA,40001016012G0,Não,CIÊNCIAS BIOLÓGICAS  - Presencial - Curitiba,40001016012G0,SETOR DE CIÊNCIAS BIOLÓGICAS
CM310,PRÉ-CÁLCULO,40001016078G0,Não,MÚSICA  - Presencial - Curitiba,40001016078G0,SETOR DE ARTES COMUNICAÇÃO E DESIGN
OA811,HISTÓRIA DA MÚSICA OCIDENTAL I,40001016078G0,Não,MÚSICA  - Presencial - Curitiba,40001016078G0,SETOR DE ARTES COMUNICAÇÃO E DESIGN
CF2401,FÍSICA GERAL 1,40001016049G0,Não,FÍSICA  - Presencial - Curitiba,40001016049G0,SETOR DE CIÊNCIAS EXATAS
CF2405,FÍSICA GERAL EXPERIMENTAL 1,40001016049G0,Não,FÍSICA  - Presencial - Curitiba,40001016049G0,SETOR DE CIÊNCIAS EXATAS
